T      Bact  Phage     Lys   VMR  P_spec B_spec 
 441  830841 10191752  347813  8.6   98   70 
 442  830841 10191752  347813  8.6   98   70 
 443  830841 10191752  347813  8.6   98   70 
 444  830841 10191752  347813  8.6   98   70 
 445  830841 10191752  347813  8.6   98   70 
 446  830841 10191752  347813  8.6   98   70 
 447  830841 10191752  347813  8.6   98   70 
 448  830841 10191752  347813  8.6   98   70 
 449  830841 10191752  347813  8.6   98   70 
 450  830841 10191752  347813  8.6   98   70 
 451  830841 10191752  347813  8.6   98   70 
 452  830841 10191752  347813  8.6   98   70 
 453  830841 10191752  347813  8.6   98   70 
 454  830841 10191752  347813  8.6   98   70 
 455  830841 10191752  347813  8.6   98   70 
 456  830841 10191752  347813  8.6   98   70 
 457  830841 10191752  347813  8.6   98   70 
 458  830841 10191752  347813  8.6   98   70 
 459  830841 10191752  347813  8.6   98   70 
 460  830841 10191752  347813  8.6   98   70 
 461  830841 10191752  347813  8.6   98   70 
 462  830841 10191752  347813  8.6   98   70 
 463  830841 10191752  347813  8.6   98   70 
 464  830841 10191752  347813  8.6   98   70 
 465  830841 10191752  347813  8.6   98   70 
 466  830841 10191752  347813  8.6   98   70 
 467  830841 10191752  347813  8.6   98   70 
 468  830841 10191752  347813  8.6   98   70 
 469  830841 10191752  347813  8.6   98   70 
 470  830841 10191752  347813  8.6   98   70 
 471  830841 10191752  347813  8.6   98   70 
 472  830841 10191752  347813  8.6   98   70 
 473  830841 10191752  347813  8.6   98   70 
 474  830841 10191752  347813  8.6   98   70 
 475  830841 10191752  347813  8.6   98   70 
 476  830841 10191752  347813  8.6   98   70 
 477  830841 10191752  347813  8.6   98   70 
 478  830841 10191752  347813  8.6   98   70 
 479  830841 10191752  347813  8.6   98   70 
 480  830841 10191752  347813  8.6   98   70 
 481  830841 10191752  347813  8.6   98   70 
 482  830841 10191752  347813  8.6   98   70 
 483  830841 10191752  347813  8.6   98   70 
 484  830841 10191752  347813  8.6   98   70 
 485  830841 10191752  347813  8.6   98   70 
 486  830841 10191752  347813  8.6   98   70 
 487  830841 10191752  347813  8.6   98   70 
 488  830841 10191752  347813  8.6   98   70 
 489  830841 10191752  347813  8.6   98   70 
 490  830841 10191752  347813  8.6   98   70 
 491  830841 10191752  347813  8.6   98   70 
 492  830841 10191752  347813  8.6   98   70 
 493  830841 10191752  347813  8.6   98   70 
 494  830841 10191752  347813  8.6   98   70 
